日付,クーポン名,価格,施術時間
2026-01-08,カット＋カラー,6600,90
2026-01-09,カット,4400,60
2026-01-12,カット＋カラー＋トリートメント,9900,120
2026-01-15,カラーのみ,5500,75
2026-01-18,カット,4400,60
2026-01-20,前髪カット,550,15
2026-01-22,カット＋カラー,6600,90
2026-01-25,トリートメント,3300,30
2026-02-02,カット＋カラー,6600,90
2026-02-05,カット,4400,60
2026-02-09,カット＋パーマ,8800,120
2026-02-11,カット＋カラー,6600,90
2026-02-14,カット＋カラー＋トリートメント,9900,120
2026-02-18,前髪カット,550,15
2026-02-21,カラーのみ,5500,75
2026-02-25,カット,4400,60
2026-03-01,カット＋カラー,6600,90
2026-03-04,カット,4400,60
2026-03-08,カット＋カラー,6600,90
2026-03-12,トリートメント,3300,30
2026-03-15,カット＋縮毛矯正,16500,180
2026-03-19,カット＋カラー,6600,90
2026-03-22,カット,4400,60
2026-03-27,カラーのみ,5500,75
2026-04-03,カット＋カラー,6600,90
2026-04-06,カット,4400,60
2026-04-10,カット＋カラー＋トリートメント,9900,120
2026-04-13,前髪カット,550,15
2026-04-17,カット＋カラー,6600,90
2026-04-21,カット,4400,60
2026-04-25,カット＋パーマ,8800,120
2026-05-02,カット＋カラー,6600,90
2026-05-06,カット,4400,60
2026-05-10,カラーのみ,5500,75
2026-05-14,カット＋カラー,6600,90
2026-05-18,トリートメント,3300,30
2026-05-23,カット,4400,60
2026-05-28,カット＋カラー,6600,90
2026-06-02,カット＋カラー＋トリートメント,9900,120
2026-06-06,カット,4400,60
2026-06-11,カット＋カラー,6600,90
2026-06-15,前髪カット,550,15
2026-06-19,カラーのみ,5500,75
2026-06-24,カット,4400,60
2026-06-29,カット＋カラー,6600,90
2026-07-03,カット＋縮毛矯正,16500,180
2026-07-07,カット,4400,60
2026-07-12,カット＋カラー,6600,90
2026-07-16,カット＋パーマ,8800,120
2026-07-20,トリートメント,3300,30
2026-07-24,カット＋カラー,6600,90
2026-07-29,カット,4400,60
2026-08-03,カット＋カラー,6600,90
2026-08-07,カラーのみ,5500,75
2026-08-11,カット,4400,60
2026-08-16,カット＋カラー,6600,90
2026-08-20,前髪カット,550,15
2026-08-25,カット＋カラー＋トリートメント,9900,120
2026-08-29,カット,4400,60
